"Timestamp","Have you ever attended any Critical Thinking class?","Do you have any experience reading Academic Papers?","Have you ever heard of Learn By Gaming / Gamification?","Would you consider taking a class that is taught using this methodology?"
"2021/05/20 9:46:29 AM GMT+2","Yes","Yes","Yes","Yes"
"2021/05/20 9:47:07 AM GMT+2","No","No","No","Yes"
"2021/05/20 9:49:20 AM GMT+2","Yes","Yes","No","No"
"2021/05/20 9:49:57 AM GMT+2","No","No","No","No"
"2021/05/20 9:50:33 AM GMT+2","Yes","Yes","Yes","Yes"
"2021/05/20 9:51:01 AM GMT+2","Yes","Yes","No","Yes"
"2021/05/20 9:51:31 AM GMT+2","Yes","Yes","Yes","Yes"
"2021/05/20 9:52:04 AM GMT+2","No","Yes","Yes","Yes"
"2021/05/20 9:54:05 AM GMT+2","No","No","No","No"
"2021/05/20 9:54:45 AM GMT+2","No","Yes","No","Yes"
